ctr,cvr,impressions,cost,revenue
0,0.02,1,1.660934072833945,0.0
0,0.02,1,1.1583176596280784,0.0
0,0.02,1,1.7878968798670738,0.0
0,0.02,1,1.546052043589046,0.0
0,0.02,1,0.6412660218314743,0.0
0,0.02,1,1.963433527455134,0.0
0,0.02,1,1.6417095529855295,0.0
0,0.02,1,1.6790964579154308,0.0
1,0.2,1,0.6921704490133188,24.01202476219311
0,0.02,1,1.1755789068433506,0.0
0,0.02,1,1.056197036348872,0.0
0,0.02,1,1.8901474832729028,0.0
0,0.02,1,1.4657976801209969,0.0
0,0.02,1,1.734142419906245,0.0
0,0.02,1,1.1651212982409966,0.0
0,0.02,1,0.8408580826771653,0.0
0,0.02,1,1.3318771805237521,0.0
0,0.02,1,0.5957258841562629,0.0
0,0.02,1,1.741446757988873,0.0
0,0.02,1,1.4474965986830972,0.0
0,0.02,1,1.6371316101280606,0.0
0,0.02,1,1.0317889521948025,0.0
0,0.02,1,1.9560470365923548,0.0
1,0.2,1,1.8396816819832966,18.915677579971955
0,0.02,1,1.6675752456106427,0.0
0,0.02,1,0.7919580617779514,0.0
0,0.02,1,1.2000815055905512,0.0
1,0.2,1,0.5657056486808432,16.361953521053824
0,0.02,1,0.7314342381013217,0.0
0,0.02,1,1.524573429863682,0.0
0,0.02,1,1.6171432338617258,0.0
0,0.02,1,1.951264598651315,0.0
1,0.2,1,0.9887380372072279,26.237839061852906
0,0.02,1,1.0556895590523032,0.0
0,0.02,1,1.2043337169137118,0.0
0,0.02,1,0.7842070386264286,0.0
0,0.02,1,0.6948822580032075,0.0
1,0.2,1,1.2135573893389007,31.27694864414434
0,0.02,1,0.8403640235763261,0.0
1,0.2,1,1.5047209920237656,24.92566845361643
0,0.02,1,1.155727878308496,0.0
0,0.02,1,1.749017294086756,0.0
0,0.02,1,1.5503976530033736,0.0
0,0.02,1,0.9685499620730615,0.0
1,0.2,1,1.7483897020928016,38.313877342788366
0,0.02,1,1.7071465362452027,0.0
1,0.2,1,1.0812175685452616,19.213282150775242
0,0.02,1,0.9324921558953662,0.0
0,0.02,1,1.5237432559624633,0.0
0,0.02,1,0.7096287254139647,0.0
1,0.2,1,0.7998623037126624,10.906792182416975
0,0.02,1,0.5110434046265082,0.0
1,0.2,1,1.6803865662532076,20.79615246340079
1,0.2,1,1.497276284888048,17.892558837314777
0,0.02,1,1.5577480679395026,0.0
0,0.02,1,1.6710935465329517,0.0
0,0.02,1,1.18837366330751,0.0
0,0.02,1,1.3531117939293407,0.0
0,0.02,1,0.7096954971914862,0.0
0,0.02,1,0.6717951103039601,0.0
1,0.2,1,1.5026044426857075,19.19276702182431
0,0.02,1,1.2066443092146988,0.0
0,0.02,1,1.3478541597217832,0.0
0,0.02,1,1.6474982861240384,0.0
0,0.02,1,1.4520774800008862,0.0
1,0.2,1,1.3303691009869938,24.49319900227831
0,0.02,1,1.3388107411181203,0.0
0,0.02,1,0.9559251470939183,0.0
1,0.2,1,0.546226751851909,38.31038098096592
0,0.02,1,1.1550760838485434,0.0
0,0.02,1,0.8218770092292937,0.0
0,0.02,1,1.1127929655869542,0.0
0,0.02,1,1.7801046099022493,0.0
0,0.02,1,0.8509092287980111,0.0
0,0.02,1,0.587454112533599,0.0
0,0.02,1,0.9220758380329948,0.0
0,0.02,1,0.9403906366500254,0.0
1,0.2,1,1.4928747720903426,18.923635490293965
0,0.02,1,1.3355482285119176,0.0
0,0.02,1,1.6758473136596201,0.0
0,0.02,1,1.4964703104910813,0.0
0,0.02,1,1.1095802921601057,0.0
0,0.02,1,1.721030576999052,0.0
0,0.02,1,0.7504593798615559,0.0
0,0.02,1,0.5340681097007907,0.0
0,0.02,1,0.6350717911634627,0.0
1,0.2,1,1.5835390258946753,14.025895277013747
1,0.2,1,1.1928158453770812,12.9672647242222
